Salles;Adresse;Numéro de téléphone
SAMURAI CLUB;Avenue des Martyrs 2068 Mourouj III, Tunis;/71 476 931
SARRA CLUB;rte de Nabeul 8070 Korba, Nabeul;/72 384 172/95 860 639
SARRAH FITNESS;Avenue de la République 2040 Radès, Ben Arous;/70 315 914
SFAX RELAX;Avenue Hédi Chaker 3021 Sakiet Ezzit, Sfax;/74 859 704/98 279 450 / 20 139 239
SIDI BOU GYM;20 Avenue Habib Bourguiba 2026 Sidi Bou Saïd, Tunis;/55 630 288
SOLIDE SPORT;291 Avenue Farhat Hached Sidi Rézig, 2033 Mégrine,BEN AROUS, Ben Arous;/31 198 319/23 716 312
SPARTA CLUB;94 Avenue Farhat Hached 2034 Ezzahra, Ben Arous;/71 296 790
SPORT FITNESS;Avenue de la République 2050 Hammam Lif, Ben Arous;/97 494 357
SPORT INSIDE;Avenue du Koweït 8050 Hammamet, Nabeul;/72 265 579
SPORTING CLUB;83 Avenue de Bellevue 1009 Ouardia, Tunis;/71 495 676
STAR FITNESS;Avenue de l'Environnement 4070 M'saken, Sousse;/54 665 009
STAR FITNESS;57 Avenue Khaled Ibn El Walid, 2045 Cité Taieb M'hiri, TUNIS, Tunis;/22 131 539
STE MY CLUB;Rue des Romarins Jardins d'el Menzah II 2094 M'nihla, Ariana;/58 623 535 / 99 958 047
TEJ TONIC;bd de l'Environnement 1057 Gammarth, Tunis;/71 916 452 / 71 916 917/92 659 912
THE LITTLE GYM;Rue du Travail ZI Kram 2015 Kram, Tunis;/71 182 778/53 360 977
TIME SPORT;rte d'El Aïn Km 33051 Merkez Alia, Sfax;/74 268 477/24 214 782
TOP FORM;14 Rue de la Mecque Ettabek 2076 Marsa Erriadh, Tunis;/71 728 555
VITA TOP CLUB;73 Rue Medinet Khan Younes Choutrana 32036 Soukra, Ariana;/23 327 809
VIVA GYM;Rue de la Mediterranée résidence Diar Ezzahra 2034 Ezzahra, Ben Arous;/22 830 329 / 24 715 504
WATER BIKE;Rue de la Feuille d'Erable LAC II 1053 Les Berges du Lac, Tunis;/26 796 414
WIMBLEY ACADEMY;91 Rue de l'Or 2046 Sidi Daoud, Tunis;/71 854 116
ZEN CLUB;33 Avenue Fattouma Bourguiba 2036 Soukra, Ariana;/97 690 598
